transaction_id,card_id,merchant_id,amount,currency,country,mcc,device_id,ip_address,timestamp
tx_1,card_10,m_103,15.28,USD,KZ,5732,d_218,10.0.250.191,2026-04-12T07:34:24.920655+00:00
tx_2,card_15,m_258,134.44,USD,DE,5411,d_341,10.0.193.94,2026-04-12T07:34:34.920702+00:00
tx_3,card_4,m_124,3254.97,USD,BR,5812,d_257,10.0.81.84,2026-04-12T07:34:44.920718+00:00
tx_4,card_9,m_162,66.56,USD,US,5999,d_109,10.0.182.217,2026-04-12T07:34:54.920729+00:00
tx_5,card_14,m_39,106.89,USD,DE,5732,d_370,10.0.120.117,2026-04-12T07:35:04.920739+00:00
tx_6,card_27,m_266,17.64,USD,TR,5812,d_343,10.0.222.91,2026-04-12T07:35:14.920752+00:00
tx_7,card_2,m_261,1826.15,USD,BR,7995,d_19,10.0.219.161,2026-04-12T07:35:24.920763+00:00
tx_8,card_15,m_17,127.95,USD,TR,5812,d_494,10.0.243.83,2026-04-12T07:35:34.920773+00:00
tx_9,card_13,m_70,132.92,USD,US,5812,d_56,10.0.198.175,2026-04-12T07:35:44.920782+00:00
tx_10,card_26,m_172,1296.79,USD,VN,5732,d_121,10.0.207.210,2026-04-12T07:35:54.920793+00:00
tx_11,card_23,m_85,152.04,USD,TR,5812,d_231,10.0.184.100,2026-04-12T07:36:04.920802+00:00
tx_12,card_2,m_245,167.83,USD,TR,5999,d_337,10.0.226.93,2026-04-12T07:36:14.920812+00:00
tx_13,card_16,m_165,123.06,USD,KZ,5999,d_361,10.0.98.68,2026-04-12T07:36:24.920821+00:00
tx_14,card_19,m_53,63.63,USD,TR,5411,d_368,10.0.113.186,2026-04-12T07:36:34.920830+00:00
tx_15,card_11,m_99,147.13,USD,TR,5812,d_279,10.0.64.51,2026-04-12T07:36:44.920839+00:00
tx_16,card_20,m_285,20.58,USD,KZ,5411,d_497,10.0.150.229,2026-04-12T07:36:54.920847+00:00
tx_17,card_11,m_188,94.43,USD,US,5732,d_362,10.0.9.44,2026-04-12T07:37:04.920857+00:00
tx_18,card_11,m_1,118.59,USD,KZ,5812,d_196,10.0.52.194,2026-04-12T07:37:14.920866+00:00
tx_19,card_3,m_87,129.88,USD,US,5411,d_86,10.0.145.3,2026-04-12T07:37:24.920875+00:00
tx_20,card_29,m_277,3543.75,USD,ID,5812,d_76,10.0.170.160,2026-04-12T07:37:34.920885+00:00
tx_21,card_5,m_9,3079.50,USD,BR,5812,d_406,10.0.100.157,2026-04-12T07:37:44.920895+00:00
tx_22,card_5,m_112,62.92,USD,TR,5732,d_279,10.0.40.10,2026-04-12T07:37:54.920907+00:00
tx_23,card_27,m_117,37.32,USD,TR,5999,d_468,10.0.166.153,2026-04-12T07:38:04.920916+00:00
tx_24,card_19,m_206,58.76,USD,US,5812,d_28,10.0.40.211,2026-04-12T07:38:14.920925+00:00
tx_25,card_21,m_180,64.06,USD,KZ,5732,d_226,10.0.127.224,2026-04-12T07:38:24.920934+00:00
tx_26,card_30,m_7,15.49,USD,US,5999,d_312,10.0.1.14,2026-04-12T07:38:34.920943+00:00
tx_27,card_13,m_271,4057.81,USD,ID,5999,d_409,10.0.177.186,2026-04-12T07:38:44.920953+00:00
